Year_Quarter,Kpi_value,QoQ_Growth_Pct
2021-Q1,372569395,
2021-Q2,393509818,5.620542986360966
2021-Q3,412118289,4.728845418540484
2021-Q4,442528032,7.378887035998538
2022-Q1,458996546,3.721462327611369
2022-Q2,473015950,3.0543593676628733
2022-Q3,489064565,3.392827451167335
2022-Q4,510268406,4.335591354896051
